No.;TGL SJ;NOPOL;NO BSTK;NAMA DEALER;KOTA;RANGE;HARGA;QTY REGULER;QTY PCX/CBR;JUMLAH (RP);SUBSIDI LIFT;TOTAL SUBSIDI;TOTAL QTY;NAMA EKSPEDISI;KET;;;;;;;;;;;
;;;3064074069;PT NUSANTARA SAKTI;PURWOREJO;RANGE 2;26800;11;1;348400;18000;216000;12;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064074070;CV PANDEAN BM;PURWOREJO;RANGE 2;26800;5;;134000;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
34;;B 9881 UVY;3064074123;PT ARMADA TUNAS JAYA;TEMANGGUNG;RANGE 2;26800;1;1;80400;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064074125;PT ARMADA TUNAS JAYA;MAGELANG;RANGE 2;26800;9;;241200;18000;162000;9;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064074130;CV CENDANA MULIA;TEMANGGUNG;RANGE 2;26800;3;1;134000;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064074131;PT TUNGGUL;TEMANGGUNG;RANGE 2;26800;2;;53600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071331552;HSO;MAGELANG;RANGE 2;26800;6;;160800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
35;;B 9963 UIO;3071331533;HSO WONOSARI;WONOSARI;RANGE 2;26800;6;2;268000;18000;144000;8;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064074083;PT NUSANTARA SAKTI;WONOSARI;RANGE 2;26800;7;;187600;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064074084;PT TUNAS JAYA;WONOSARI;RANGE 2;26800;3;;80400;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;TOTAL;;;;;467;43;14820400;;9180000;510;;;;;;;;;;;;;
Perincian Range 2:;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;;UNIT;TARIF;JUMLAH;;;;;;;;;;;;;;;;;;;;;;
REG;;467;26800;12515600;;;;;;;;;;;;;;;;;;;;;;
PCX/CBR;;43;53600;2304800;;;;;;;;;;;;;;;;;;;;;;
SUBSIDI;;510;18000;9180000;;;;;;;;;;;;;;;;;;;;;;
;;;TOTAL;24000400;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
1;46158;B 9915 UVY;3071329009;HSO KEBUMEN 2;KEBUMEN;RANGE 3;42300;4;;169200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069422;PT NUSANTARA SAKTI;KEBUMEN;RANGE 3;42300;7;;296100;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
2;;B 9923 UIO;3064069400;CV ABADI;PARAKAN;RANGE 3;42300;9;;380700;18000;162000;9;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069429;CV MARABUNTA SAKTI;WONOSOBO;RANGE 3;42300;3;;126900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329018;HSO;WONOSOBO;RANGE 3;42300;7;1;380700;18000;144000;8;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
3;;B 9960 UIO;3064069426;PT ARMADA TUNAS JAYA;KUTOARJO;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
4;46160;B 9967 UIO;3071329236;HSO;BANJARNEGARA;RANGE 3;42300;5;4;549900;18000;162000;9;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069862;CV KOMPO MOTOR;WONOSOBO;RANGE 3;42300;6;1;338400;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069858;CV MARABUNTA SAKTI;WONOSOBO;RANGE 3;42300;7;;296100;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
5;;B 9966 UIO;3064069851;PT NUSANTARA SAKTI;KEBUMEN;RANGE 3;42300;6;3;507600;18000;162000;9;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329245;HSO;KEBUMEN;RANGE 3;42300;6;;253800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069826;CV SANJAYA GEMILANG;SUMPIUH;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
6;;B 9005 UVZ;3071329242;HSO KEBUMEN 2;KEBUMEN;RANGE 3;42300;12;1;592200;18000;234000;13;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069856;CV TEGUH;GOMBONG;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
7;;B 9908 UIO;3064069842;PT ARMADA TUNAS JAYA;KUTOARJO;RANGE 3;42300;5;;211500;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329244;HSO;KEBUMEN;RANGE 3;42300;3;2;296100;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
8;;B 9014 UVZ;3071329247;HSO;KEBUMEN;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069848;CV CENDANA ML;KEBUMEN;RANGE 3;42300;11;1;549900;18000;216000;12;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
9;46161;B 9915 UVY;3064070395;PT ARMADA TUNAS JAYA;KUTOARJO;RANGE 3;42300;3;;126900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329535;HSO KEBUMEN 2;KEBUMEN;RANGE 3;42300;4;;169200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
10;;B 9910 UIO;3064070413;CV KOMPO MOTOR;BANJARNEGARA;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064070414;CV KOMPO MOTOR;WONOSOBO;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064070415;CV MARABUNTA SAKTI;WONOSOBO;RANGE 3;42300;5;;211500;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064070416;CV ABADI;PARAKAN;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064070420;PT TUNAS DWIPA;PARAKAN;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329541;HSO;BANJARNEGARA;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329546;HSO;WONOSOBO;RANGE 3;42300;3;1;211500;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
11;46162;B 9960 UIO;3064070824;CV KOMPO MOTOR;BANJARNEGARA;RANGE 3;42300;2;2;253800;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064070839;CV KOMPO MOTOR;WONOSOBO;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329769;HSO;BANJARNEGARA;RANGE 3;42300;1;4;380700;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329780;HSO;WONOSOBO;RANGE 3;42300;2;2;253800;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
12;;B 9881 UVY;3064070831;PT ARMADA TUNAS JAYA;KUTOARJO;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
13;46163;B 9908 UIO;3064071373;CV SANJAYA GEMILANG;SUMPIUH;RANGE 3;42300;;1;84600;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071418;CV CENDANA ML;KEBUMEN;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330073;HSO;KEBUMEN;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330075;HSO KEBUMEN 2;KEBUMEN;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
14;;B 9922 UIO;3064071380;CV KOMPO MOTOR;BANJARNEGARA;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071400;CV ABADI;PARAKAN;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071405;PT TUNAS DWIPA;PARAKAN;RANGE 3;42300;1;1;126900;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071423;CV KOMPO MOTOR;WONOSOBO;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071427;CV MARABUNTA SAKTI;WONOSOBO;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
15;46164;B 9014 UVZ;3064071782;PT NUSANTARA SAKTI;KEBUMEN;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330308;HSO KEBUMEN 2;KEBUMEN;RANGE 3;42300;6;;253800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
16;;B 9966 UIO;3064071752;CV ABADI;PARAKAN;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071764;CV KOMPO MOTOR;BANJARNEGARA;RANGE 3;42300;3;;126900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071788;CV KOMPO MOTOR;WONOSOBO;RANGE 3;42300;1;1;126900;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071791;PT TUNAS DWIPA;PARAKAN;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330283;HSO;BANJARNEGARA;RANGE 3;42300;2;1;169200;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330309;HSO;WONOSOBO;RANGE 3;42300;4;1;253800;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
17;;B 9910 UIO;3064071786;PT ARMADA TUNAS JAYA;KUTOARJO;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071757;CV SANJAYA GEMILANG;SUMPIUH;RANGE 3;42300;2;1;169200;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
18;;B 9963 UIO;3064071964;CV CENDANA ML;KEBUMEN;RANGE 3;42300;5;1;296100;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330305;HSO;KEBUMEN;RANGE 3;42300;1;2;211500;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
19;46165;B 9005 UVZ;3064072280;CV KOMPO MOTOR;BANJARNEGARA;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330563;HSO;BANJARNEGARA;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330564;HSO;WONOSOBO;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064072294;CV ABADI;PARAKAN;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
20;;B 9967 UIO;3071330565;HSO;KEBUMEN;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064072338;CV CENDANA ML;KEBUMEN;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
21;46167;B 9915 UVY;3064072662;PT ARMADA TUNAS JAYA;KUTOARJO;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
22;;B 9881 UVY;3064072670;PT NUSANTARA SAKTI;KEBUMEN;RANGE 3;42300;6;;253800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
23;;B 9014 UVZ;3071330765;HSO;BANJARNEGARA;RANGE 3;42300;10;2;592200;18000;216000;12;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064072701;CV KOMPO MOTOR;WONOSOBO;RANGE 3;42300;3;;126900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
24;;B 9908 UIO;3064072632;CV SANJAYA GEMILANG;SUMPIUH;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064072680;CV CENDANA ML;KEBUMEN;RANGE 3;42300;3;;126900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330784;HSO KEBUMEN 2;KEBUMEN;RANGE 3;42300;11;;465300;18000;198000;11;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
25;;B 9963 UIO;3064072661;PT TUNAS DWIPA;PARAKAN;RANGE 3;42300;4;;169200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064072657;CV ABADI;PARAKAN;RANGE 3;42300;3;1;211500;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
26;;B 9923 UIO;3064072643;CV KOMPO MOTOR;BANJARNEGARA;RANGE 3;42300;6;;253800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064072644;CV SANJAYA GEMILANG;BANJARNEGARA;RANGE 3;42300;6;1;338400;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064072697;CV MARABUNTA SAKTI;WONOSOBO;RANGE 3;42300;1;1;126900;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330799;HSO;WONOSOBO;RANGE 3;42300;6;;253800;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
27;46168;B 9922 UIO;3064073017;CV SANJAYA GEMILANG;BANJARNEGARA;RANGE 3;42300;1;2;211500;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064073022;CV KOMPO MOTOR;BANJARNEGARA;RANGE 3;42300;1;2;211500;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064073031;CV MARABUNTA SAKTI;WONOSOBO;RANGE 3;42300;1;1;126900;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330950;HSO;BANJARNEGARA;RANGE 3;42300;4;4;507600;18000;144000;8;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330958;HSO;WONOSOBO;RANGE 3;42300;1;4;380700;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
28;;B 9005 UVZ;3064073038;CV TEGUH;GOMBONG;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064073014;CV SANJAYA GEMILANG;SUMPIUH;RANGE 3;42300;;1;84600;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
29;;B 9963 UIO;3064073036;PT NUSANTARA SAKTI;KEBUMEN;RANGE 3;42300;;1;84600;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064073058;CV CENDANA ML;KEBUMEN;RANGE 3;42300;3;;126900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
30;;B 9881 UVY;3071330954;HSO;KEBUMEN;RANGE 3;42300;5;5;634500;18000;180000;10;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330955;HSO KEBUMEN 2;KEBUMEN;RANGE 3;42300;5;1;296100;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
31;46170;B 9014 UVZ;3064073477;CV ABADI;PARAKAN;RANGE 3;42300;4;;169200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064073515;PT TUNAS DWIPA;PARAKAN;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
32;;B 9966 UIO;3064073498;CV CENDANA ML;KEBUMEN;RANGE 3;42300;7;1;380700;18000;144000;8;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071331194;HSO;KEBUMEN;RANGE 3;42300;5;1;296100;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
33;;B 9908 UIO;3064073541;PT NUSANTARA SAKTI;KEBUMEN;RANGE 3;42300;3;;126900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
34;;B 9923 UIO;3064073494;PT ARMADA TUNAS JAYA;KUTOARJO;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
35;46171;B 9967 UIO;3071331497;HSO;KEBUMEN;RANGE 3;42300;8;;338400;18000;144000;8;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064074007;CV SANJAYA GEMILANG;SUMPIUH;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064074031;CV TEGUH;GOMBONG;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
36;;B 9922 UIO;3064074068;PT ARMADA TUNAS JAYA;KUTOARJO;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
37;;B 9960 UIO;3064074074;CV KOMPO MOTOR;BANJARNEGARA;RANGE 3;42300;7;;296100;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064074075;CV SANJAYA GEMILANG;BANJARNEGARA;RANGE 3;42300;2;;84600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064074077;CV KOMPO MOTOR;WONOSOBO;RANGE 3;42300;3;;126900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064074078;CV MARABUNTA SAKTI;WONOSOBO;RANGE 3;42300;1;;42300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071331527;HSO;BANJARNEGARA;RANGE 3;42300;5;;211500;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071331528;HSO;WONOSOBO;RANGE 3;42300;3;;126900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;;;;;;314;59;18273600;;6714000;373;;;;;;;;;;;;;
Perincian Range 3:;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;;UNIT;TARIF;JUMLAH;;;;;;;;;;;;;;;;;;;;;;
REG;;314;42300;13282200;;;;;;;;;;;;;;;;;;;;;;
PCX/CBR;;59;84600;4991400;;;;;;;;;;;;;;;;;;;;;;
SUBSIDI;;373;18000;6714000;;;;;;;;;;;;;;;;;;;;;;
;;;TOTAL;24987600;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
1;46158;B 9915 UVY;3064069413;PT NUSANTARA SAKTI;CILACAP;RANGE 4;47300;3;;141900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329000;HSO;CILACAP;RANGE 4;47300;8;1;473000;18000;162000;9;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
2;46160;B 9966 UIO;3064069849;PT NETRAL JM;SIDAREJA;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069827;PT  NUSANTARA JAYA;WANGON;RANGE 4;47300;2;;94600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329232;HSO;MAJENANG;RANGE 4;47300;2;;94600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
3;;B 9005 UVZ;3064069821;PT  NUSANTARA JAYA;PURWOKERTO;RANGE 4;47300;3;;141900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069822;CV SANJAYA GEMILANG;PURWOKERTO;RANGE 4;47300;2;;94600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069834;CV OSAKA ;PURWOKERTO;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
4;;B 9922 UIO;3064069831;CV KOMPO MOTOR;PURBALINGGA;RANGE 4;47300;10;3;756800;18000;234000;13;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069818;CV KOMPO MOTOR;SOKARAJA;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069836;CV SURYA AM;SOKARAJA;RANGE 4;47300;8;;378400;18000;144000;8;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
5;;B 9923 UIO;3064069819;CV KOMPO MOTOR;AJIBARANG;RANGE 4;47300;3;;141900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069839;PT SUMBER PS;AJIBARANG;RANGE 4;47300;3;;141900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069838;PT NUSANTARA SAKTI;PURWOKERTO;RANGE 4;47300;9;2;614900;18000;198000;11;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329233;HSO;PURWOKERTO;RANGE 4;47300;4;;189200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
6;;B 9960 UIO;3064069830;CV ANUGERAH UTAMA;PURBALINGGA;RANGE 4;47300;10;3;756800;18000;234000;13;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329235;HSO;PURBALINGGA;RANGE 4;47300;10;1;567600;18000;198000;11;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
7;;B 9014 UVZ;3064069837;PT NUSANTARA SAKTI;CILACAP;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329231;HSO;CILACAP;RANGE 4;47300;1;4;425700;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064069833;CV KOMPO MOTOR;KROYA;RANGE 4;47300;2;;94600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
8;46161;B 9915 UVY;3064070391;CV ANUGERAH UTAMA;PURBALINGGA;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064070392;CV KOMPO MOTOR;PURBALINGGA;RANGE 4;47300;1;1;141900;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329534;HSO;PURBALINGGA;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
9;46162;B 9881 UVY;3064070817;CV KOMPO MOTOR;SOKARAJA;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064070818;CV KOMPO MOTOR;AJIBARANG;RANGE 4;47300;;1;94600;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064070821;CV SANJAYA GEMILANG;PURWOKERTO;RANGE 4;47300;3;1;236500;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064070826;CV SURYA AM;SOKARAJA;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064070827;PT NUSANTARA SAKTI;PURWOKERTO;RANGE 4;47300;1;2;236500;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064070837;PT  NUSANTARA JAYA;PURWOKERTO;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071329761;HSO;PURWOKERTO;RANGE 4;47300;3;2;331100;18000;90000;5;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
10;46163;B 9908 UIO;3064071376;PT NUSANTARA SAKTI;PURWOKERTO;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071377;PT  NUSANTARA JAYA;PURWOKERTO;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071379;CV SURYA AM;SOKARAJA;RANGE 4;47300;2;1;189200;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330054;HSO;PURWOKERTO;RANGE 4;47300;4;;189200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
11;46164;B 9014 UVZ;3064071661;PT NETRAL JM;SIDAREJA;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071662;PT NETRAL JM;SIDAREJA;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071754;CV MEKAR CJ;MAJENANG;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071759;CV  SANJAYA MAKMUR;SIDAREJA;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330239;HSO;MAJENANG;RANGE 4;47300;1;1;141900;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330241;HSO;MAJENANG;RANGE 4;47300;1;;47300;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3071330271;HSO;MAJENANG;RANGE 4;47300;2;1;189200;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071663;PT  NUSANTARA JAYA;WANGON;RANGE 4;47300;2;;94600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071781;PT NUSANTARA SAKTI;WANGON;RANGE 4;47300;2;;94600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
12;;B 9910 UIO;3064071664;CV KOMPO MOTOR;PURBALINGGA;RANGE 4;47300;1;1;141900;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071763;CV KOMPO MOTOR;PURBALINGGA;RANGE 4;47300;3;4;520300;18000;126000;7;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
;;;3064071762;CV ANUGERAH UTAMA;PURBALINGGA;RANGE 4;47300;3;;141900;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;;;;;;;;
